"","biasModel","feat","z","coef_lm","coef_rlm"
"132","tN","sigma_xy","I(x^2)",0.254223397631211,0.000444921072666287
"133","tN","sigma_xy","I(x^3)",-0.233390662295572,0.000138566841685985
"134","tN","sigma_xy","I(x^4)",0.14052410362501,-0.000730058988374259
"135","tN","sigma_xy","I(y^2)",-1.49650992431249,0.000232928821029644
"136","tN","sigma_xy","I(y^3)",-2.39122951257782,0.000410114712626597
"137","tN","sigma_xy","I(y^4)",6.44227435293564,0.000102196248445785
"138","tN","sigma_xy","y:x",4.25613299092642,0.0105164114916074
"139","tN","sigma_xy","y:I(x^2)",0.245862894238702,-0.00628383229630957
"140","tN","sigma_xy","y:I(x^3)",-4.60645617846553,0.28067516511076
"141","tN","sigma_xy","y:I(x^4)",-2.87966828262668,0.018165396856875
"142","tN","sigma_xy","x:I(y^2)",2.65783513563648,0.000936111274572723
"143","tN","sigma_xy","x:I(y^3)",-17.413642176299,0.292639768245473
"144","tN","sigma_xy","x:I(y^4)",-17.9825079103478,-0.00251998240806229
"145","tN","sigma_yy","(Intercept)",-0.379652509320979,0.0345744747896729
"146","tN","sigma_yy","y",3.64169070770517,-0.00221477640960898
"147","tN","sigma_yy","x",2.10428176725976,-0.00115471312650646
"148","tN","sigma_yy","I(x^2)",-1.11017516085792,0.0440426586380915
"149","tN","sigma_yy","I(x^3)",-5.99155650088132,0.00468360276228295
"150","tN","sigma_yy","I(x^4)",0.941337263112022,0.0174351725134311
"151","tN","sigma_yy","I(y^2)",21.917653829755,0.142391433140695
"152","tN","sigma_yy","I(y^3)",-1.05706646184877,0.0234859719190428
"153","tN","sigma_yy","I(y^4)",-45.7959187160633,1.02414558872387
"154","tN","sigma_yy","y:x",21.512750989674,0.0194326328731958
"155","tN","sigma_yy","y:I(x^2)",0.267675580462877,-0.00375372760240875
"156","tN","sigma_yy","y:I(x^3)",-36.9355961806925,-0.0355890397029549
"157","tN","sigma_yy","y:I(x^4)",-8.82298630281549,0.0163904618651224
"158","tN","sigma_yy","x:I(y^2)",23.3719649088797,-0.0678802174960853
"159","tN","sigma_yy","x:I(y^3)",-18.6358869031087,-0.114111346742624
"160","tN","sigma_yy","x:I(y^4)",-47.5719079655698,0.683845989192367
