Image No.	Cue
728	towel
729	faucet
730	desk
731	faucet
732	doorknob
733	fireplace
734	curtain
735	flowers
736	mirror
737	flowers
738	tv
739	football
740	chair
741	refrigerator
742	car
743	sky
744	tv
745	kettle
746	laptop
747	picture frame
748	building
749	lamp
750	flowers
751	lamp
752	pillow
753	steering wheel
754	sign
755	tree
756	door
757	mirror
758	umbrella
759	blinds
760	lamp
761	bottle
762	side table
763	painting
764	faucet
765	gear shift
766	door
767	pillow
768	lamp
769	pillow
770	mirror
771	window
772	books
773	plant
774	lamp
775	books
776	trashbag
777	purse
778	toilet paper
779	sink
780	globe
781	sink
782	book
783	soap
784	window
785	tissue box
786	dish towel
787	tv 
788	mirror
789	vase
790	vase
791	boombox
792	rug
793	flowers
794	pillow
795	window
796	books
797	shoes
798	sink
799	window
800	side table
