1,22,2,360,808,370.4,316.2
1,22,3,840,1156,405.6,392.3
1,22,4,1208,1420,612.1,351.1
1,22,5,1440,1712,643.6,360.4
1,22,6,1756,1936,584.6,221.4
1,22,7,1960,2296,575.4,170.9
1,22,8,2344,2532,331.4,211.5
1,22,9,2560,2776,298.2,249.6
1,22,10,2788,2988,292.8,264.6
1,22,11,3032,3348,190.6,373.6
1,22,12,3428,3672,734.8,369.7
1,22,13,3696,4728,741.3,332.5
1,22,14,4760,5460,763.2,294.2
1,23,2,261,625,271.1,258.7
1,23,3,649,853,227.3,273.7
1,23,4,901,1245,477.2,378.8
1,23,5,1293,1561,322.8,360.3
1,23,6,1597,1745,292.5,461.9
1,23,7,1781,2121,192.8,505
1,24,2,347,643,363.6,252
1,24,3,671,859,365.3,200.2
1,24,4,891,1579,428.2,183.5
1,25,2,335,651,331.9,311.9
1,25,3,703,879,474.7,330.8
1,25,4,903,1115,510.3,328.7
1,26,2,225,481,381.4,322.6
1,26,3,509,905,376.1,378.2
1,26,4,957,1165,180.9,491.5
1,26,5,1181,1849,140.1,517.5
1,26,6,1905,2129,371,357
1,26,7,2189,2325,411.9,123.1
1,26,8,2357,3229,378.6,49.5
1,26,9,3293,3605,623.6,355.4
1,26,10,3633,3877,640.2,308.8
1,26,11,3897,4357,646.5,262.3
1,27,2,668,944,461.3,323.8
1,27,3,996,2056,213,372.3
1,27,4,2076,2200,223.4,385.3
1,27,5,2244,2432,362.8,376.3
1,27,6,2456,2796,309.4,394.5
1,27,7,2836,3152,461,356.7
1,27,8,3168,3480,464.3,338.2
1,27,9,3508,3972,490.3,273.3
1,27,10,4004,4612,551.1,350.5
1,27,11,4664,4868,546,159
1,27,12,4892,5452,509.4,212.2
1,27,13,5496,5684,349.2,219.8
1,27,14,5700,5832,305.6,211.5
1,28,2,355,599,445,394
1,28,3,647,1239,549.6,461.5
1,28,4,1263,1591,562.1,447.9
1,28,5,1615,1927,569.5,517.5
1,28,6,1947,2183,538.3,506.3
1,28,7,2251,2547,174.6,291.4
1,28,8,2559,2835,146.9,276.3
1,28,9,2867,3179,113.4,313.1
1,28,10,3207,3467,179,358.7
1,28,11,3531,3915,547.6,171.3
1,28,12,3935,4091,573.4,172.4
1,28,13,4119,4363,631,182.5
1,28,14,4399,4599,511.1,148.2
1,28,15,4623,4931,467.6,145.5
1,28,16,4955,5455,432.2,167.9
1,28,17,5499,5695,458.1,361.9
1,28,18,5735,6451,340.3,389.5
1,29,2,374,670,395.1,269.7
1,29,3,722,1090,674.8,229.1
1,29,4,1150,1310,365.3,280.1
1,29,5,1342,1474,365.2,344.1
1,29,6,1526,1730,119,220.2
1,29,7,1750,1954,76.5,209.4
1,29,8,1962,2466,66.4,209.6
1,29,9,2510,3126,195.2,247.6
1,29,10,3150,3454,257.1,256.4
1,29,11,3502,3866,461.9,185.8
1,29,12,3902,4458,576.7,195.6
1,29,13,4494,4914,677.9,213.7
1,29,14,4926,5138,693.6,213.6
1,29,15,5182,5530,684.4,74.6
1,29,16,5566,6042,762,148.5
1,29,17,6078,6202,646.4,124.7
1,29,18,6254,6718,472.7,59.8
1,30,2,306,578,314.5,291.5
1,30,3,646,922,661.3,326.6
1,30,4,986,1634,282.3,307.2
1,30,5,1678,2154,484.6,352.8
1,30,6,2178,2426,516,398.2
1,30,7,2450,2662,466.3,399.9
1,30,8,2726,2926,112.2,342.1
1,30,9,2950,3186,50.4,310.7
1,30,10,3202,3418,46.3,280.1
1,30,11,3458,3746,96.2,154
1,30,12,3794,3970,354.9,202.5
1,30,13,3986,4530,321.1,201.6
1,30,14,4578,4810,622,264.9
1,30,15,4834,5482,654.9,297.7
1,30,16,5506,5730,587.1,297.4
1,30,17,5778,6086,707.1,450.3
1,30,18,6114,6330,764.8,383.4
1,30,19,6354,7118,778.9,333.8
1,31,2,291,663,398.7,277
